Congress.Number,Congress.Year.Begin,Congress.Year.End,Seats,Democrat,Republican,Other,Majority,Majority.By
91,1969,1971,435,243,192,0,D,51
92,1971,1973,435,255,180,0,D,75
93,1973,1975,435,243,192,0,D,51
94,1975,1977,435,291,144,0,D,147
95,1977,1979,435,292,143,0,D,149
96,1979,1981,435,278,157,0,D,121
97,1981,1983,435,243,192,0,D,51
98,1983,1985,435,269,166,0,D,103
99,1985,1987,435,254,181,0,D,73
100,1987,1989,435,258,177,0,D,81
101,1989,1991,435,260,175,0,D,85
102,1991,1993,435,267,167,1,D,100
103,1993,1995,435,258,176,1,D,82
104,1995,1997,435,204,230,1,R,26
105,1997,1999,435,207,226,2,R,19
106,1999,2001,435,211,223,1,R,12
107,2001,2003,435,213,220,2,R,7
108,2003,2005,435,205,229,1,R,24
109,2005,2007,435,201,233,1,R,32
110,2007,2009,435,233,202,0,D,31
111,2009,2011,435,257,178,0,D,79
112,2011,2013,435,193,242,0,R,49
113,2013,2015,435,201,234,0,R,33
114,2015,2017,435,188,247,0,R,59
115,2017,2019,435,194,241,0,R,47
116,2019,2021,435,235,199,0,D,36
