Fiscal Year,State or Jurisdiction,Total Legislative Appropriations,Total Other State funding,Total National Endowment for the Arts Funding,Total Private and Misc. Funding,Total Revenue,Congress Majority
1970,Alabama,"$100,000.00",$0.00,"$30,090.00",$0.00,"$130,090.00",1
1970,Alaska,"$47,600.00",$0.00,"$30,810.00",$0.00,"$78,410.00",1
1970,American Samoa,$0.00,$0.00,$0.00,$0.00,$0.00,1
1970,Arizona,"$23,561.00",$0.00,"$30,909.00",$0.00,"$54,470.00",1
1970,Arkansas,$0.00,$0.00,"$30,909.00",$0.00,"$30,909.00",1
1970,California,"$170,997.00",$0.00,"$30,909.00",$0.00,"$201,906.00",1
1970,Colorado,"$26,489.00",$0.00,"$30,909.00",$0.00,"$57,398.00",1
1970,Connecticut,"$114,800.00",$0.00,"$30,909.00",$0.00,"$145,709.00",1
1970,Delaware,"$45,454.00",$0.00,$0.00,$0.00,"$45,454.00",1
1970,District of Columbia,"$25,661.00",$0.00,"$30,838.00",$0.00,"$56,499.00",1
1970,Florida,"$5,000.00",$0.00,"$30,909.00",$0.00,"$35,909.00",1
1970,Georgia,"$88,060.00",$0.00,"$30,909.00",$0.00,"$118,969.00",1
1970,Guam,$0.00,$0.00,$0.00,$0.00,$0.00,1
1970,Hawaii,"$163,579.00",$0.00,"$30,909.00",$0.00,"$194,488.00",1
1970,Idaho,"$10,000.00",$0.00,"$26,406.00",$0.00,"$36,406.00",1
1970,Illinois,"$250,000.00",$0.00,"$30,909.00",$0.00,"$280,909.00",1
1970,Indiana,"$25,000.00",$0.00,$0.00,$0.00,"$25,000.00",1
1970,Iowa,"$30,730.00",$0.00,"$27,657.00",$0.00,"$58,387.00",1
1970,Kansas,"$66,023.00",$0.00,"$30,909.00",$0.00,"$96,932.00",1
1970,Kentucky,"$134,980.00",$0.00,"$30,909.00",$0.00,"$165,889.00",1
1970,Louisiana,"$27,860.00",$0.00,$0.00,$0.00,"$27,860.00",1
1970,Maine,"$79,500.00",$0.00,"$30,909.00",$0.00,"$110,409.00",1
1970,Maryland,"$277,704.00",$0.00,"$30,909.00",$0.00,"$308,613.00",1
1970,Massachusetts,"$100,000.00",$0.00,"$30,476.00",$0.00,"$130,476.00",1
1970,Michigan,"$140,000.00",$0.00,"$30,909.00",$0.00,"$170,909.00",1
1970,Minnesota,"$112,500.00",$0.00,"$30,909.00",$0.00,"$143,409.00",1
1970,Mississippi,$0.00,$0.00,"$30,909.00",$0.00,"$30,909.00",1
1970,Missouri,"$192,915.00",$0.00,"$30,909.00",$0.00,"$223,824.00",1
1970,Montana,"$25,000.00",$0.00,"$30,195.00",$0.00,"$55,195.00",1
1970,Nebraska,"$12,492.00",$0.00,"$30,159.00",$0.00,"$42,651.00",1
1970,Nevada,$0.00,$0.00,"$30,909.00",$0.00,"$30,909.00",1
1970,New Hampshire,"$10,000.00",$0.00,"$30,909.00",$0.00,"$40,909.00",1
1970,New Jersey,"$77,795.00",$0.00,"$30,909.00",$0.00,"$108,704.00",1
1970,New Mexico,"$20,000.00",$0.00,"$30,909.00",$0.00,"$50,909.00",1
1970,New York,"$2,256,474.00",$0.00,"$30,909.00",$0.00,"$2,287,383.00",1
1970,North Carolina,"$90,007.00",$0.00,"$30,909.00",$0.00,"$120,916.00",1
1970,North Dakota,$0.00,$0.00,"$29,173.00",$0.00,"$29,173.00",1
1970,Northern Marianas,$0.00,$0.00,$0.00,$0.00,$0.00,1
1970,Ohio,"$223,407.00",$0.00,"$30,909.00",$0.00,"$254,316.00",1
1970,Oklahoma,"$65,739.00",$0.00,"$30,898.00",$0.00,"$96,637.00",1
1970,Oregon,"$24,924.00",$0.00,"$30,909.00",$0.00,"$55,833.00",1
1970,Pennsylvania,"$204,000.00",$0.00,"$30,909.00",$0.00,"$234,909.00",1
1970,Puerto Rico,"$1,491,263.00",$0.00,"$30,909.00",$0.00,"$1,522,172.00",1
1970,Rhode Island,"$105,799.00",$0.00,"$30,909.00",$0.00,"$136,708.00",1
1970,South Carolina,"$131,788.00",$0.00,"$30,909.00",$0.00,"$162,697.00",1
1970,South Dakota,"$18,720.00",$0.00,"$30,909.00",$0.00,"$49,629.00",1
1970,Tennessee,"$68,700.00",$0.00,"$30,909.00",$0.00,"$99,609.00",1
1970,Texas,"$105,724.00",$0.00,"$28,613.00",$0.00,"$134,337.00",1
1970,Utah,"$83,000.00",$0.00,"$30,909.00",$0.00,"$113,909.00",1
1970,Vermont,"$28,800.00",$0.00,"$30,880.00",$0.00,"$59,680.00",1
1970,Virgin Islands,"$160,000.00",$0.00,"$30,909.00",$0.00,"$190,909.00",1
1970,Virginia,"$10,000.00",$0.00,"$30,744.00",$0.00,"$40,744.00",1
1970,Washington,"$80,998.00",$0.00,"$30,909.00",$0.00,"$111,907.00",1
1970,West Virginia,"$117,205.00",$0.00,"$30,909.00",$0.00,"$148,114.00",1
1970,Wisconsin,$0.00,$0.00,"$30,909.00",$0.00,"$30,909.00",1
1970,Wyoming,$0.00,$0.00,"$30,909.00",$0.00,"$30,909.00",1
1971,Alabama,"$100,000.00",$0.00,"$36,363.00",$0.00,"$136,363.00",1
1971,Alaska,"$100,000.00",$0.00,"$36,363.00",$0.00,"$136,363.00",1
1971,American Samoa,$0.00,$0.00,$0.00,$0.00,$0.00,1
1971,Arizona,"$24,593.00",$0.00,"$36,363.00",$0.00,"$60,956.00",1
1971,Arkansas,$0.00,$0.00,"$36,363.00",$0.00,"$36,363.00",1
1971,California,"$168,000.00",$0.00,"$36,363.00",$0.00,"$204,363.00",1
1971,Colorado,"$27,157.00",$0.00,"$36,363.00",$0.00,"$63,520.00",1
1971,Connecticut,"$127,634.00",$0.00,"$36,363.00",$0.00,"$163,997.00",1
1971,Delaware,"$50,000.00",$0.00,"$36,363.00",$0.00,"$86,363.00",1
1971,District of Columbia,"$20,800.00",$0.00,"$36,363.00",$0.00,"$57,163.00",1
1971,Florida,"$76,402.00",$0.00,"$36,363.00",$0.00,"$112,765.00",1
1971,Georgia,"$102,960.00",$0.00,"$36,363.00",$0.00,"$139,323.00",1
1971,Guam,$0.00,$0.00,$0.00,$0.00,$0.00,1
1971,Hawaii,"$174,558.00",$0.00,"$36,363.00",$0.00,"$210,921.00",1
1971,Idaho,"$10,000.00",$0.00,"$36,363.00",$0.00,"$46,363.00",1
1971,Illinois,"$600,000.00",$0.00,"$36,363.00",$0.00,"$636,363.00",1
1971,Indiana,"$25,000.00",$0.00,"$36,341.00",$0.00,"$61,341.00",1
1971,Iowa,"$32,644.00",$0.00,"$36,363.00",$0.00,"$69,007.00",1
1971,Kansas,"$61,445.00",$0.00,"$36,363.00",$0.00,"$97,808.00",1
1971,Kentucky,"$147,860.00",$0.00,"$36,383.00",$0.00,"$184,243.00",1
1971,Louisiana,"$42,883.00",$0.00,$0.00,$0.00,"$42,883.00",1
1971,Maine,"$90,526.00",$0.00,"$36,363.00",$0.00,"$126,889.00",1
1971,Maryland,"$347,763.00",$0.00,"$36,363.00",$0.00,"$384,126.00",1
1971,Massachusetts,"$160,000.00",$0.00,"$36,072.00",$0.00,"$196,072.00",1
1971,Michigan,"$219,952.00",$0.00,"$36,363.00",$0.00,"$256,315.00",1
1971,Minnesota,"$115,150.00",$0.00,"$36,363.00",$0.00,"$151,513.00",1
1971,Mississippi,"$75,000.00",$0.00,"$36,363.00",$0.00,"$111,363.00",1
1971,Missouri,"$201,082.00",$0.00,"$36,363.00",$0.00,"$237,445.00",1
1971,Montana,"$25,000.00",$0.00,"$36,363.00",$0.00,"$61,363.00",1
1971,Nebraska,"$13,673.00",$0.00,"$36,363.00",$0.00,"$50,036.00",1
1971,Nevada,$0.00,$0.00,"$36,363.00",$0.00,"$36,363.00",1
1971,New Hampshire,"$10,000.00",$0.00,"$36,363.00",$0.00,"$46,363.00",1
1971,New Jersey,"$203,228.00",$0.00,"$36,363.00",$0.00,"$239,591.00",1
1971,New Mexico,"$21,000.00",$0.00,"$36,363.00",$0.00,"$57,363.00",1
1971,New York,"$20,133,193.00",$0.00,"$36,363.00",$0.00,"$20,169,556.00",1
1971,North Carolina,"$120,027.00",$0.00,"$36,363.00",$0.00,"$156,390.00",1
1971,North Dakota,"$5,100.00",$0.00,"$36,363.00",$0.00,"$41,463.00",1
1971,Northern Marianas,$0.00,$0.00,$0.00,$0.00,$0.00,1
1971,Ohio,"$198,184.00",$0.00,"$36,363.00",$0.00,"$234,547.00",1
1971,Oklahoma,"$86,399.00",$0.00,"$36,363.00",$0.00,"$122,762.00",1
1971,Oregon,"$24,924.00",$0.00,"$36,363.00",$0.00,"$61,287.00",1
1971,Pennsylvania,"$205,000.00",$0.00,"$36,363.00",$0.00,"$241,363.00",1
1971,Puerto Rico,"$1,681,900.00",$0.00,"$36,363.00",$0.00,"$1,718,263.00",1
1971,Rhode Island,"$111,839.00",$0.00,"$36,363.00",$0.00,"$148,202.00",1
1971,South Carolina,"$135,911.00",$0.00,"$36,363.00",$0.00,"$172,274.00",1
1971,South Dakota,"$19,864.00",$0.00,"$36,363.00",$0.00,"$56,227.00",1
1971,Tennessee,"$72,300.00",$0.00,"$36,363.00",$0.00,"$108,663.00",1
1971,Texas,"$106,072.00",$0.00,"$36,297.00",$0.00,"$142,369.00",1
1971,Utah,"$83,000.00",$0.00,"$36,363.00",$0.00,"$119,363.00",1
1971,Vermont,"$35,459.00",$0.00,"$36,363.00",$0.00,"$71,822.00",1
1971,Virgin Islands,"$150,000.00",$0.00,"$36,363.00",$0.00,"$186,363.00",1
1971,Virginia,"$140,000.00",$0.00,"$36,187.00",$0.00,"$176,187.00",1
