Fiscal Year,National NEA Appropriation,Multiplier,Adjusted National NEA Appropriation,Congress Majority
1970,9055000,6.7082473,60743179.3,1
1971,16420000,6.708247,110149415.7,1
1972,31480000,6.226794,196019475.1,1
1973,40857000,5.862162,239510352.8,1
1974,64025000,5.279513,338020819.8,1
1975,80142000,4.837918,387720424.4,1
1976,87455000,4.574341,400048992.2,1
1977,99872000,4.29505,428955233.6,1
1978,123850000,3.992025,494412296.3,1
1979,149585000,3.585124,536280773.5,1
1980,154610000,3.158738,488372482.2,1
1981,158795000,2.863366,454688204,1
1982,143456000,2.697202,386929810.1,1
1983,143875000,2.613253,375981775.4,1
1984,162223000,2.505101,406384999.5,1
1985,163660000,2.418959,395886829.9,1
1986,158822240,2.374818,377173914.4,1
1987,165281000,2.291197,378691331.4,1
1988,167731000,2.200169,369036546.5,1
1989,169090000,2.099032,354925320.9,1
1990,171255000,1.991431,341042515.9,1
1991,174080737,1.911013,332670551.5,1
1992,175954680,1.855167,326425315.8,1
1993,174459382,1.801246,314244264,1
1994,170228000,1.756275,298967180.7,1
1995,162311000,1.707874,277206736.8,0
1996,99470000,1.658891,165009887.8,0
1997,99494000,1.621682,161347628.9,0
1998,98000000,1.59681,156487380,0
1999,97966000,1.562305,153052771.6,0
2000,97627600,1.511498,147563922.1,0
2001,104769000,1.470508,154063652.7,0
2002,115220000,1.446804,166700756.9,0
2003,115731000,1.414565,163709022,0
2004,120971000,1.377872,166682553.7,0
2005,121263000,1.332719,161609504.1,0
2006,124406353,1.291071,160617434.6,0
2007,124561844,1.255317,156364600.3,1
2008,144706800,1.208901,174936195.2,1
2009,155000000,1.213217,188048635,1
2010,167500000,1.193638,199934365,1
2011,154690000,1.157114,178993964.7,0
2012,146020992,1.133653,165537135.6,0
2013,138383218,1.117288,154613908.9,0
2014,146021000,1.099453,160543226.5,0
2015,146021000,1.098149,160352815.1,0
2016,147949000,1.084468,160445956.1,0
2017,149849000,1.061847,159116711.1,0
2018,152849000,1.03653,158432574,0
2019,155000000,1.018083,157802865,1
2020,162250000,1,162250000,1
